Feature,Importance
MonthlyIncome,0.07586290972482582
Age,0.0725988115530407
YearsAtCompany,0.06542730661114053
TotalWorkingYears,0.0650050388406075
YearsWithCurrManager,0.0638418927035435
DistanceFromHome,0.06329727931077647
PercentSalaryHike,0.055184940310143336
YearsSinceLastPromotion,0.0510187622862608
YearsInCurrentRole,0.04856005836319848
NumCompaniesWorked,0.0468916916657297
JobRole,0.04206557821927091
JobLevel,0.037620807000570404
TrainingTimesLastYear,0.036089937450404515
Education,0.0351761123959161
EducationField,0.03486041151040458
JobSatisfaction,0.029872686010098994
WorkLifeBalance,0.029737277089366736
EnvironmentSatisfaction,0.028461712717320866
RelationshipSatisfaction,0.028117518360757526
MaritalStatus,0.02153432667141692
Department,0.018041887236762744
Gender,0.017804895649788592
BusinessTravel,0.013673128182668637
OverTime,0.009943386897984605
PerformanceRating,0.009311643238001134
